Feature,Importance
perimeter_worst,0.16149171708305815
radius_worst,0.12781118219921025
concave points_mean,0.12001579351080066
area_worst,0.07012388063540131
concave points_worst,0.05706758038041243
perimeter_mean,0.05219054133155023
PC1_worse,0.05044091773092747
concavity_mean,0.04920068094230281
radius_mean,0.03713265893116289
concavity_worst,0.03184701082523669
area_se,0.03109066587208671
PC1_means,0.028082374578124285
PC1_standard error (se),0.01855988993877271
texture_mean,0.014433728002649897
smoothness_worst,0.013920757104744845
area_mean,0.012700875733729054
compactness_worst,0.012625726323226793
symmetry_worst,0.011899435835138387
texture_worst,0.010628906216968303
compactness_mean,0.00979653637389386
PC2_worse,0.009400987500192843
PC2_means,0.008820274745917383
smoothness_mean,0.00819742186545225
fractal_dimension_se,0.006155597826820433
radius_se,0.005846631139770465
symmetry_se,0.005505399254139064
concavity_se,0.005426406575332476
compactness_se,0.0048090752128495
symmetry_mean,0.0038787984929850973
perimeter_se,0.0033577748913290817
concave points_se,0.00328895134016319
texture_se,0.0032066604291342672
fractal_dimension_worst,0.002999063337881532
smoothness_se,0.00292088501942854
PC2_standard error (se),0.0027581652861675514
fractal_dimension_mean,0.002367047533038636
